longitude,latitude,RA[deg],RA[hrs],Dec[deg],Number
97.96751289758868,-60.17843237016753,0.1027875,0.006852500000000002,0.0446675,2
97.99007100373754,-60.17815119309939,0.1130792,0.007538613333333335,0.0491406,2
109.28394666026338,-37.84536639966159,0.4689458,0.03126305333333334,23.49948,15
109.28394666026338,-37.84536639966159,0.4689458,0.03126305333333334,23.49948,14
101.99418316296351,-60.2772468015973,2.0119292,0.13412861333333337,0.6460664,8
90.95930397812752,-72.31090577252195,2.7604167,0.18402778000000003,-12.1088886,16
90.95930397812752,-72.31090577252195,2.7604167,0.18402778000000003,-12.1088886,15
90.95930397812752,-72.31090577252195,2.7604167,0.18402778000000003,-12.1088886,16
91.32108383827054,-72.34095221111927,2.8737333,0.19158222000000005,-12.0826181,12
91.32108383827054,-72.34095221111927,2.8737333,0.19158222000000005,-12.0826181,12
118.78088343217817,-1.2401906284812256,3.5031208,0.2335413866666667,61.0736542,14
9.46636694668148,-81.85067758100358,3.5850417,0.23900278000000005,-30.3847492,22
112.05715764671136,-46.09324160591426,4.3849708,0.2923313866666667,15.8389147,16
112.05714223298558,-46.094628986112134,4.3852125,0.29234750000000004,15.8375469,24
112.0563107511329,-46.10018011582436,4.3856333,0.2923755533333334,15.8319806,23
112.48634646523962,-45.50354184753383,4.5862167,0.30574778,16.4713028,34
112.53852807506176,-45.554079591623434,4.6326667,0.3088444466666667,16.4276472,40
112.54230239172887,-45.55129856984787,4.6348958,0.3089930533333334,16.4308328,41
112.5457713367065,-45.55612467493259,4.6382375,0.30921583333333336,16.4264833,39
112.63620957203214,-45.48537128685936,4.6910417,0.3127361133333334,16.5068389,34
112.71685798786449,-45.5151594161487,4.7543333,0.31695555333333336,16.4868433,18
112.71685798786449,-45.5151594161487,4.7543333,0.31695555333333336,16.4868433,20
99.33307256775805,-71.5227106749242,4.8206042,0.3213736133333334,-10.2979803,14
99.32259668481275,-71.53249438175582,4.8210625,0.3214041666666667,-10.3083019,15
99.32259668481275,-71.53249438175582,4.8210625,0.3214041666666667,-10.3083019,15
99.34057669443553,-71.52260031758291,4.8228167,0.3215211133333334,-10.2970161,15
119.71860296060565,-1.1251547003768911,5.4055458,0.36036972000000006,61.3008,12
119.94966030692457,-0.13600270209382193,5.6747208,0.3783147200000001,62.3085864,11
101.4980871867429,-74.00532971439199,6.3144,0.42096000000000006,-12.4022889,38
101.71130586582208,-74.02196424883314,6.3767708,0.4251180533333334,-12.3985092,29
101.72253754136979,-74.02021029776994,6.3791667,0.42527778000000005,-12.3958333,23
101.86005483802374,-74.00872268395366,6.4119167,0.4274611133333334,-12.3725311,39
101.81213356562596,-74.05305628900159,6.4140625,0.42760416666666673,-12.4187361,42
102.0387535042471,-73.94182140113531,6.4372917,0.4291527800000001,-12.2931917,20
102.08114098260673,-73.99874504933646,6.4675458,0.4311697200000001,-12.3432283,19
102.08154347379424,-73.99873532523132,6.46765,0.43117666666666676,-12.3431831,20
115.50151946079609,-45.072008368534306,6.7135375,0.44756916666666674,17.2061278,12
115.5382843636122,-45.078325516510915,6.7413167,0.4494211133333334,17.2029983,23
115.5662669057459,-45.06772485766415,6.7605167,0.45070111333333346,17.2159025,20
115.93895262112481,-43.312235138902714,6.8220792,0.4548052800000001,18.9906475,51
115.94931299471901,-43.315427251783646,6.8303875,0.4553591666666667,18.9883461,49
115.95073766614048,-43.312782994964564,6.8311542,0.4554102800000001,18.9910922,49
117.11899205813616,-36.10011645554532,6.9531917,0.4635461133333334,26.258455,25
117.12469157385175,-36.08403890363155,6.9564833,0.46376555333333347,26.2749167,38
120.49534512763968,-2.4512405213392583,7.2326625,0.4821775000000001,60.0514406,13
117.92020214452953,-36.1289005617719,7.6748208,0.5116547200000001,26.2910047,17
115.75856175441814,-53.837721080193155,7.9367458,0.5291163866666667,8.5201228,13
115.75856175441814,-53.837721080193155,7.9367458,0.5291163866666667,8.5201228,13
117.39971664474481,-44.31618353524543,8.0373042,0.53582028,18.1009772,28
117.41532827267878,-44.290145820995974,8.0465167,0.5364344466666667,18.1279239,44
120.19670582086671,-14.125646789024659,8.1546875,0.5436458333333334,48.3854533,46
120.25522400183385,-14.083551541227417,8.2359,0.5490600000000002,48.4311339,45
120.31283678621581,-14.024587072564684,8.3143708,0.5542913866666668,48.4935253,44
120.37267914821504,-13.971807401871805,8.3969167,0.5597944466666668,48.5498114,46
120.4220073485422,-13.917672743208188,8.4641583,0.56427722,48.6067628,48
120.44483772282372,-13.85350972986299,8.4917958,0.5661197200000001,48.6721431,48
120.62728776798247,-18.416721971376084,9.1131542,0.6075436133333335,44.1256664,52
120.68346324216166,-18.352673268246317,9.1828458,0.6121897200000002,44.1923319,56
120.68346324216166,-18.352673268246317,9.1828458,0.6121897200000002,44.1923319,56
120.75783910071539,-18.272723617631733,9.275775,0.6183850000000001,44.2756642,51
120.30394651167798,-29.406506253651873,9.445125,0.6296750000000002,33.1349436,39
120.70888760364055,-22.530196012609117,9.4862542,0.6324169466666667,40.0207953,13
121.11752775446628,-22.187931807103695,9.9616375,0.6641091666666668,40.3787461,20
121.33015747662614,-21.84167608634752,10.2044167,0.6802944466666667,40.7319139,21
121.54385663269676,-21.431362022608056,10.4498375,0.6966558333333334,41.1483847,14
117.84950295897178,-72.83934994846449,10.7073333,0.7138222200000002,-10.3009617,30
117.95887965830623,-72.82633302967828,10.7389792,0.7159319466666667,-10.2853992,28
117.95887965830623,-72.82633302967828,10.7389792,0.7159319466666667,-10.2853992,28
113.48534271314948,-83.08751155309166,11.0323625,0.7354908333333334,-20.5774856,29
