Z, ELEMENT, PHOTO, PHOTO_ERR, METEOR, METEOR_ERR, BEST, ERR
33, As, -30., -30.,  2.30, 0.04,  2.30, 0.04
34, Se, -30., -30.,  3.34, 0.03,  3.34, 0.03
35, Br, -30., -30.,  2.54, 0.06,  2.54, 0.06
36, Kr, 3.12, 0.10, -2.27, 0.1,   3.12, 0.10 
37, Rb, 2.32, 0.08,  2.37, 0.03,  2.32, 0.08   
38, Sr, 2.83, 0.06,  2.88, 0.03,  2.83, 0.06   
39, Y,  2.21, 0.05,  2.15, 0.02,  2.21, 0.05   
40, Zr, 2.59, 0.04,  2.53, 0.02,  2.59, 0.04   
41, Nb, 1.47, 0.06,  1.42, 0.04,  1.47, 0.06   
42, Mo, 1.88, 0.09,  1.93, 0.04,  1.88, 0.09       
44, Ru, 1.75, 0.08,  1.77, 0.02,  1.75, 0.08  
45, Rh, 0.78, 0.11,  1.04, 0.02,  0.78, 0.11  
46, Pd, 1.57, 0.10,  1.65, 0.02,  1.57, 0.10  
47, Ag, 0.96, 0.10,  1.20, 0.04,  0.96, 0.10  
48, Cd, -30., -30.,  1.71, 0.03,  1.71, 0.03
49, In, 0.80, 0.20,  0.76, 0.02,  0.80, 0.20  
50, Sn, 2.02, 0.10,  2.07, 0.06,  2.02, 0.10 
51, Sb, -30., -30.,  1.01, 0.06,  1.01, 0.06
52, Te, -30., -30.,  2.18, 0.03,  2.18, 0.03
53, I,  -30., -30.,  1.55, 0.08,  1.55, 0.08
54, Xe, 2.22, 0.05, -1.95, 0.18,  2.22, 0.05
55, Cs, -30., -30.,  1.08, 0.03,  1.08, 0.03
56, Ba, 2.27, 0.05,  2.18, 0.02,  2.27, 0.05
57, La, 1.11, 0.04,  1.17, 0.01,  1.11, 0.04
58, Ce, 1.58, 0.04,  1.58, 0.01,  1.58, 0.04
59, Pr, 0.75, 0.05,  0.76, 0.01,  0.75, 0.05
60, Nd, 1.42, 0.04,  1.45, 0.01,  1.42, 0.04
62, Sm, 0.95, 0.04,  0.94, 0.01,  0.95, 0.04
63, Eu, 0.52, 0.04,  0.52, 0.01,  0.52, 0.04
64, Gd, 1.08, 0.04,  1.05, 0.01,  1.08, 0.04
65, Tb, 0.31, 0.10,  0.31, 0.01,  0.31, 0.10
66, Dy, 1.10, 0.04,  1.13, 0.01,  1.10, 0.04
67, Ho, 0.48, 0.11,  0.47, 0.01,  0.48, 0.11
68, Er, 0.93, 0.05,  0.93, 0.01,  0.93, 0.05
69, Tm, 0.11, 0.04,  0.12, 0.01,  0.11, 0.04
70, Yb, 0.85, 0.11,  0.92, 0.01,  0.85, 0.11
71, Lu, 0.10, 0.09,  0.09, 0.01,  0.10, 0.09
